Gender,Customer_Type,Age,Type_Of_Travel,Class,Fligh_ Distance,Inflight_wifi_service,Departure_Arriva_ time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Checkin_service,Cleanliness,Avg_rating,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes,satisfaction
Male,Loyal Customer,13,Personal Travel,Eco Plus,460,3,4,3,1,5,3,5,5,4,3,4,4,5,3.77,25,18,FALSE
Male,Disloyal Customer,25,Business Travel,Business,235,3,2,3,3,1,3,1,1,1,5,3,1,1,2.15,1,6,FALSE
Female,Loyal Customer,26,Business Travel,Business,1142,2,2,2,2,5,5,5,5,4,3,4,4,5,3.69,0,0,TRUE
Female,Loyal Customer,25,Business Travel,Business,562,2,5,5,5,2,2,2,2,2,5,3,1,2,2.92,11,9,FALSE
Male,Loyal Customer,61,Business Travel,Business,214,3,3,3,3,4,5,5,3,3,4,4,3,3,3.54,0,0,TRUE
Female,Loyal Customer,26,Personal Travel,Eco,1180,3,4,2,1,1,2,1,1,3,4,4,4,1,2.38,0,0,FALSE
Male,Loyal Customer,47,Personal Travel,Eco,1276,2,4,2,3,2,2,2,2,3,3,4,3,2,2.62,9,23,FALSE
Female,Loyal Customer,52,Business Travel,Business,2035,4,3,4,4,5,5,5,5,5,5,5,4,4,4.46,4,0,TRUE
Female,Loyal Customer,41,Business Travel,Business,853,1,2,2,2,4,3,3,1,1,2,1,4,2,2.15,0,0,FALSE
Male,Disloyal Customer,20,Business Travel,Eco,1061,3,3,3,4,2,3,3,2,2,3,4,4,2,2.92,0,0,FALSE
Female,Disloyal Customer,24,Business Travel,Eco,1182,4,5,5,4,2,5,2,2,3,3,5,3,2,3.46,0,0,FALSE
Female,Loyal Customer,12,Personal Travel,Eco Plus,308,2,4,2,2,1,2,1,1,1,2,5,5,1,2.23,0,0,FALSE
Male,Loyal Customer,53,Business Travel,Eco,834,1,4,4,4,1,1,1,1,1,1,3,4,1,2.08,28,8,FALSE
Male,Loyal Customer,33,Personal Travel,Eco,946,4,2,4,3,4,4,4,4,4,5,2,2,4,3.54,0,0,TRUE
Female,Loyal Customer,26,Personal Travel,Eco,453,3,2,3,2,2,3,2,2,4,3,2,2,2,2.46,43,35,FALSE
Male,Disloyal Customer,13,Business Travel,Eco,486,2,1,2,3,4,2,1,4,2,1,4,1,4,2.38,1,0,FALSE
Female,Loyal Customer,26,Business Travel,Business,2123,3,3,3,3,4,4,4,4,5,3,4,5,4,3.77,49,51,TRUE
Male,Loyal Customer,41,Business Travel,Business,2075,4,4,2,4,4,4,4,5,5,5,5,3,5,4.15,0,10,TRUE
Female,Loyal Customer,45,Business Travel,Business,2486,4,4,4,4,3,4,5,5,5,5,5,3,4,4.23,7,5,TRUE
Male,Loyal Customer,38,Personal Travel,Eco,460,2,3,3,2,5,3,5,5,1,2,4,3,5,3.31,17,18,FALSE
Male,Loyal Customer,9,Business Travel,Eco,1174,2,4,2,4,2,2,1,2,1,5,3,4,2,2.62,0,4,FALSE
Female,Loyal Customer,17,Personal Travel,Eco,208,3,1,3,3,5,3,5,5,2,5,3,3,5,3.54,0,0,FALSE
Female,Loyal Customer,43,Personal Travel,Eco,752,3,5,3,5,5,4,5,3,3,3,5,3,4,3.92,52,29,FALSE
Female,Loyal Customer,58,Personal Travel,Eco,2139,4,5,4,5,4,3,4,4,4,4,4,2,2,3.77,0,0,FALSE
Female,Disloyal Customer,23,Business Travel,Eco,452,5,0,5,1,1,5,1,1,4,5,5,3,1,2.85,54,44,TRUE
Male,Loyal Customer,57,Personal Travel,Eco,719,4,4,4,1,5,4,5,5,3,2,4,4,5,3.85,27,28,FALSE
Female,Loyal Customer,33,Business Travel,Business,1561,1,1,1,1,1,5,3,4,4,4,3,5,2,2.69,0,0,TRUE
Female,Loyal Customer,49,Business Travel,Eco Plus,315,4,4,4,4,2,2,1,4,4,4,4,2,2,3.15,0,8,TRUE
Female,Loyal Customer,36,Business Travel,Business,3347,3,1,1,1,1,2,1,3,3,3,3,2,2,2,18,12,FALSE
Male,Loyal Customer,22,Personal Travel,Eco,2342,3,2,3,3,3,3,1,3,2,4,3,4,3,2.85,19,0,FALSE
Female,Loyal Customer,31,Business Travel,Business,819,4,4,4,4,5,5,5,5,5,4,3,1,5,4.15,0,0,TRUE
Female,Disloyal Customer,15,Business Travel,Eco,1043,2,2,2,3,5,2,5,5,3,1,4,2,5,3.15,3,0,FALSE
Female,Loyal Customer,35,Business Travel,Business,2611,4,5,4,4,4,4,4,3,3,4,5,4,4,4,109,120,TRUE
Female,Loyal Customer,67,Personal Travel,Eco,1192,4,5,4,1,2,4,5,5,5,4,3,5,5,4,18,24,FALSE
Male,Disloyal Customer,37,Business Travel,Business,1182,3,3,3,4,1,3,1,1,4,1,3,1,1,2.23,9,0,FALSE
Female,Loyal Customer,40,Business Travel,Eco,349,1,4,4,4,1,1,1,1,3,5,3,3,1,2.46,0,1,FALSE
Female,Disloyal Customer,34,Business Travel,Business,883,3,4,4,3,5,4,2,5,5,4,5,4,5,4.08,0,0,FALSE
Male,Loyal Customer,40,Personal Travel,Eco Plus,550,4,3,4,2,2,4,2,2,5,1,4,3,2,2.92,23,20,FALSE
Female,Loyal Customer,47,Personal Travel,Eco,302,4,4,4,3,2,4,5,4,4,4,4,4,4,3.85,23,31,TRUE
Male,Disloyal Customer,41,Business Travel,Business,354,1,1,1,2,1,1,1,1,3,3,4,4,1,1.85,0,0,FALSE
Male,Loyal Customer,39,Business Travel,Business,1734,4,4,4,4,3,5,5,4,4,4,4,4,3,4,0,0,TRUE
Female,Disloyal Customer,25,Business Travel,Business,1452,3,5,3,4,3,3,3,3,4,4,5,5,3,3.69,9,23,FALSE
Male,Loyal Customer,41,Business Travel,Business,296,0,0,0,3,2,5,3,4,4,4,4,4,3,2.77,0,0,TRUE
Female,Loyal Customer,38,Business Travel,Business,2882,3,3,3,3,2,1,4,5,5,5,5,2,4,3.46,0,0,TRUE
Female,Loyal Customer,50,Business Travel,Business,460,1,1,1,1,3,5,5,3,3,3,3,4,5,2.92,1,15,TRUE
Male,Loyal Customer,29,Business Travel,Business,529,1,1,1,1,5,5,5,5,4,2,5,5,5,3.46,4,0,TRUE
Female,Loyal Customer,22,Personal Travel,Business,349,2,4,2,1,4,2,4,4,4,5,4,4,4,3.38,0,0,FALSE
Female,Loyal Customer,13,Business Travel,Business,1522,1,1,1,1,1,1,1,1,3,5,3,1,1,1.62,0,0,FALSE
Male,Loyal Customer,54,Business Travel,Business,612,3,3,3,3,5,2,3,5,5,5,5,4,3,3.77,8,0,TRUE
Male,Loyal Customer,21,Personal Travel,Eco,1454,2,2,2,3,5,2,5,5,2,3,3,1,5,3.08,0,0,FALSE
Male,Loyal Customer,28,Business Travel,Eco,731,2,1,1,1,2,2,2,2,3,3,2,3,2,2,14,8,FALSE
Male,Loyal Customer,27,Business Travel,Business,2076,3,3,3,3,4,4,4,4,3,4,4,4,4,3.62,0,1,TRUE
Female,Loyal Customer,69,Business Travel,Eco,309,5,5,5,5,1,2,3,5,5,5,5,4,2,4,0,0,TRUE
Male,Loyal Customer,35,Personal Travel,Eco,775,2,3,2,4,4,2,4,4,4,4,3,4,4,3.38,1,0,FALSE
Female,Loyal Customer,60,Personal Travel,Eco,861,2,2,2,3,1,3,4,4,4,2,4,4,4,3,10,10,FALSE
Female,Loyal Customer,45,Business Travel,Business,3334,2,4,2,2,4,5,5,4,4,4,4,3,5,3.69,51,48,TRUE
Female,Loyal Customer,57,Business Travel,Business,2496,0,0,0,1,3,4,5,5,5,5,5,4,5,3.23,0,5,TRUE
Male,Loyal Customer,40,Business Travel,Business,602,5,5,5,5,2,5,5,5,5,5,5,3,4,4.54,0,0,TRUE
Female,Disloyal Customer,38,Business Travel,Business,308,3,3,3,3,4,3,4,4,1,1,4,2,4,3,39,26,FALSE
Male,Disloyal Customer,23,Business Travel,Eco,446,2,4,2,1,4,2,4,4,4,2,4,5,4,3.23,4,0,FALSE
Male,Disloyal Customer,39,Business Travel,Business,216,2,2,2,3,3,2,3,3,2,1,4,2,3,2.46,0,0,FALSE
Female,Loyal Customer,52,Business Travel,Business,3475,2,2,2,2,4,4,4,4,4,4,4,4,3,3.31,0,0,TRUE
Male,Disloyal Customer,25,Business Travel,Eco,646,2,1,2,2,4,2,3,4,4,4,3,2,4,2.85,13,1,FALSE
Female,Loyal Customer,48,Business Travel,Business,2501,3,3,3,3,5,4,4,5,5,5,5,4,4,4.08,0,0,TRUE
Female,Loyal Customer,59,Business Travel,Business,2227,5,5,5,5,2,4,4,4,4,4,4,3,4,4.08,30,15,TRUE
Male,Loyal Customer,25,Business Travel,Business,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,3.85,4,0,TRUE
Male,Loyal Customer,38,Personal Travel,Eco,190,2,4,2,3,4,2,4,4,3,2,4,4,4,3.23,0,0,FALSE
Male,Loyal Customer,46,Business Travel,Business,1532,2,2,2,2,2,4,5,5,5,5,5,5,4,3.69,0,0,TRUE
Male,Loyal Customer,50,Business Travel,Eco,308,2,1,1,1,2,2,2,2,3,2,2,2,2,1.85,18,12,FALSE
Female,Loyal Customer,38,Business Travel,Eco Plus,157,4,4,4,4,4,4,4,4,3,3,1,1,4,3.38,0,0,TRUE
Female,Loyal Customer,53,Business Travel,Business,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,4.38,0,0,TRUE
Male,Loyal Customer,30,Business Travel,Eco Plus,205,3,2,2,2,3,3,3,3,2,5,1,1,3,2.54,64,49,FALSE
Male,Disloyal Customer,39,Business Travel,Business,895,2,2,2,4,5,2,5,5,5,4,4,5,5,3.85,0,2,FALSE
Male,Loyal Customer,66,Personal Travel,Eco Plus,516,1,4,1,2,2,1,2,2,4,4,5,5,2,2.69,0,37,FALSE
Male,Loyal Customer,45,Personal Travel,Eco,909,3,5,3,2,1,3,1,1,4,4,5,3,1,2.77,0,0,FALSE
Female,Disloyal Customer,25,Business Travel,Business,1435,5,1,5,4,1,5,1,1,4,2,5,4,1,3,1,1,TRUE
Male,Loyal Customer,52,Business Travel,Business,1190,2,4,4,4,1,4,3,2,2,2,2,1,4,2.69,0,6,FALSE
Male,Loyal Customer,64,Personal Travel,Eco,1259,4,5,4,2,2,4,2,2,4,5,3,4,2,3.31,20,5,TRUE
Female,Disloyal Customer,50,Business Travel,Eco,216,4,0,4,4,4,4,4,4,5,2,1,4,4,3.38,0,0,FALSE
Female,Disloyal Customer,41,Business Travel,Business,1670,2,1,1,2,3,2,4,3,3,5,3,4,3,2.77,0,0,FALSE
Male,Loyal Customer,26,Business Travel,Business,3960,1,1,1,1,4,4,4,4,4,2,5,4,4,3,45,48,TRUE
Female,Disloyal Customer,25,Business Travel,Eco,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3.15,0,0,FALSE
Female,Disloyal Customer,44,Business Travel,Business,1670,3,3,3,4,5,3,5,5,3,2,4,2,5,3.62,0,8,FALSE
Female,Disloyal Customer,21,Business Travel,Business,861,4,0,4,4,1,4,1,1,3,4,4,4,1,2.69,0,0,TRUE
